Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637358870.8253994,0,0,6.0,34.6
1637358877.6570656,0,0,6.0,31.8
1637358884.3521578,0,0,15.0,27.0
1637358891.1854255,0,0,19.0,32.8
1637358898.282676,0,0,16.0,31.0
1637358904.981953,0,0,8.5,34.6
1637358913.7883961,0,0,10.5,27.4
1637358922.0095184,0,0,6.5,36.2
1637358929.2015245,0,0,4.0,36.4
1637358936.0283692,0,0,2.5,34.4
1637358942.907964,0,0,24.5,34.2
1637358949.669881,0,0,13.0,28.2
1637358957.5515506,0,0,7.5,33.0
1637358964.3805032,0,0,7.0,33.6
1637358971.3434026,0,0,5.5,32.2
1637358978.461753,0,0,3.0,31.4
1637358985.4958732,0,0,2.0,37.8
1637358992.663565,0,0,2.0,35.4
1637358999.719527,0,0,3.0,30.8
1637359006.894452,0,0,3.0,38.0
1637359014.0858922,0,0,3.0,33.8
1637359021.2938998,0,0,3.0,43.6
1637359028.8226686,0,0,4.0,37.2
1637359036.1930633,0,0,4.0,41.2
1637359043.5778582,0,0,3.0,40.0
1637359050.9270856,0,0,3.0,40.6
1637359058.4147398,0,0,3.0,37.0
1637359065.9036498,0,0,3.0,37.8
1637359073.4688823,0,0,3.0,37.2
1637359080.9776478,0,0,3.0,40.6
1637359089.8685603,0,0,3.0,32.8
1637359097.5459373,0,0,3.0,34.8
1637359105.1484323,0,0,3.0,35.0
1637359113.0869884,0,0,3.0,37.2
1637359120.9467885,0,0,3.0,35.2
1637359128.8408709,0,0,3.0,30.8
1637359136.6383364,0,0,5.0,28.2
1637359144.7877176,0,0,5.0,28.6
1637359152.97971,0,0,5.0,30.2
1637359160.8617756,0,0,5.0,30.8
1637359168.8775756,0,0,64.5,24.0
1637359176.8320906,0,0,26.5,33.0
1637359187.0637333,0,0,5.0,37.0
1637359195.3142884,0,0,5.0,37.2
1637359204.3795145,0,0,5.0,35.4
1637359212.5402856,0,0,5.0,31.2
1637359220.714014,0,0,4.5,42.4
1637359229.210602,0,0,4.0,32.8
1637359237.7654452,0,0,4.0,35.2
1637359246.059421,0,0,5.5,39.4
1637359254.3934526,0,0,5.0,33.2
1637359263.0070386,0,0,4.0,32.6
1637359271.349768,0,0,4.0,32.0
1637359279.9788144,0,0,4.0,32.8
1637359288.4598742,0,0,4.0,37.2
1637359297.012433,0,0,4.0,40.4
1637359305.7848678,0,0,3.0,37.4
1637359314.4531448,0,0,3.0,35.6
1637359323.562703,0,0,3.0,36.4
1637359332.223278,0,0,3.0,36.4
1637359341.071988,0,0,3.0,46.8
1637359350.0342627,0,0,3.0,42.4
1637359359.3576496,0,0,3.0,40.8
1637359368.576324,0,0,2.0,36.6
1637359377.4436939,0,0,2.0,40.4
1637359386.4088056,0,0,3.0,43.4
1637359396.207871,0,0,3.0,39.6
1637359405.3429818,0,0,7.0,35.0
1637359414.4406667,0,0,3.0,35.6
1637359425.005281,0,0,3.0,36.4
1637359434.1699617,0,0,3.0,33.8
1637359443.3882017,0,0,3.0,29.8
1637359454.8484013,0,0,3.0,31.4
1637359464.155464,0,0,3.0,35.2
1637359473.6039383,0,0,4.0,35.8
1637359483.3592072,0,0,4.0,30.6
1637359492.7487686,0,0,4.0,32.6
1637359502.6792777,0,0,4.0,27.0
1637359512.2611818,0,0,4.0,23.6
1637359521.8269978,0,0,3.0,30.8
1637359531.5890095,0,0,3.0,32.0
1637359541.2335649,0,0,4.0,36.0
1637359551.2871654,0,0,4.5,30.0
1637359561.0548582,0,0,5.0,29.6
1637359570.8510807,0,0,4.0,30.0
1637359580.6661718,0,0,4.0,27.0
1637359590.538032,0,0,4.0,27.8
1637359600.398053,0,0,4.0,27.4
1637359610.3625784,0,0,4.0,26.8
1637359620.2420824,0,0,4.5,36.2
1637359630.2168298,0,0,7.5,32.8
1637359640.3097756,0,0,8.0,34.2
1637359650.6043441,0,0,8.0,28.8
1637359660.8386097,0,0,6.0,29.8
1637359672.1860652,0,0,5.0,32.2
1637359682.308509,0,0,5.0,33.2
1637359692.5443294,0,0,5.0,34.6
1637359702.910955,0,0,5.0,40.8
1637359713.7446969,0,0,6.0,35.0
1637359725.2135494,0,0,8.0,35.6
1637359735.7075543,0,0,8.0,36.0
1637359746.1624563,0,0,7.0,36.2
1637359757.2321553,0,0,7.0,29.8
1637359769.2884068,0,0,5.0,28.6
1637359779.8832464,0,0,5.0,38.6
