Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637358870.3404021,0,0,4.0,28.4
1637358877.4031904,0,0,4.0,29.4
1637358884.1346436,0,0,4.0,34.6
1637358890.9042828,0,0,4.0,32.4
1637358898.3574991,0,0,4.0,28.2
1637358905.245934,0,0,4.0,30.4
1637358912.2838528,0,0,4.0,32.8
1637358919.0755677,0,0,4.0,35.4
1637358925.8305311,0,0,3.0,27.4
1637358932.6805348,0,0,3.0,29.0
1637358939.4415314,0,0,3.0,32.4
1637358946.2762964,0,0,3.0,28.0
1637358953.2469537,0,0,3.0,33.4
1637358960.0721862,0,0,3.0,32.0
1637358967.1098754,0,0,3.0,27.8
1637358974.0031796,0,0,2.0,31.8
1637358981.0238764,0,0,2.0,29.6
1637358988.2709806,0,0,2.0,36.8
1637358995.278063,0,0,2.0,32.0
1637359002.5087438,0,0,2.0,37.6
1637359009.6400182,0,0,2.0,33.8
1637359016.9058068,0,0,2.0,37.8
1637359024.324982,0,0,2.0,36.8
1637359031.5886073,0,0,2.0,39.4
1637359038.9690347,0,0,2.0,38.2
1637359046.3113794,0,0,2.0,37.6
1637359053.8847547,0,0,2.0,32.8
1637359061.285016,0,0,2.0,32.8
1637359068.8330612,0,0,2.0,44.4
1637359076.372079,0,0,2.0,36.2
1637359083.9717782,0,0,2.0,36.6
1637359091.6436427,0,0,2.0,33.0
1637359099.3504584,0,0,2.0,38.4
1637359106.9928868,0,0,2.0,36.2
1637359114.7998598,0,0,2.0,39.2
1637359122.7932992,0,0,2.0,30.0
1637359130.5696094,0,0,2.0,25.0
1637359138.463266,0,0,2.0,24.2
1637359146.3746834,0,0,2.0,24.6
1637359154.3300555,0,0,2.0,26.0
1637359162.431179,0,0,3.0,31.0
1637359170.3181245,0,0,3.0,30.4
1637359178.500145,0,0,3.0,28.8
1637359186.591865,0,0,3.0,29.0
1637359194.691374,0,0,2.0,33.6
1637359203.0114994,0,0,2.0,29.2
1637359211.232217,0,0,2.0,27.2
1637359219.554698,0,0,2.0,37.0
1637359227.9130416,0,0,2.0,34.6
1637359236.175801,0,0,2.0,34.4
1637359244.5802262,0,0,2.0,34.6
1637359253.0843575,0,0,2.0,32.0
1637359261.449266,0,0,2.0,31.0
1637359270.0763497,0,0,2.0,31.4
1637359278.599172,0,0,2.0,32.6
1637359287.2340946,0,0,2.0,29.0
1637359295.9451523,0,0,2.0,29.6
1637359304.5862758,0,0,2.0,32.8
1637359313.3288038,0,0,2.0,33.0
1637359322.0281615,0,0,2.0,32.4
1637359330.895926,0,0,2.0,38.4
1637359339.8647056,0,0,2.0,38.6
1637359349.490312,0,0,2.0,42.4
1637359358.4681518,0,0,1.0,48.6
1637359367.6078627,0,0,1.0,35.6
1637359376.5613165,0,0,1.0,39.8
1637359385.6103973,0,0,1.0,42.4
1637359394.6850452,0,0,1.0,36.8
1637359403.8647025,0,0,1.0,34.2
1637359413.1293902,0,0,1.0,32.2
1637359422.2502654,0,0,1.0,29.8
1637359431.4216485,0,0,1.0,32.8
1637359440.7162514,0,0,1.0,29.8
1637359450.0596044,0,0,1.0,30.8
1637359459.4527717,0,0,1.0,35.6
1637359469.2275863,0,0,1.0,27.8
1637359478.5875223,0,0,1.0,32.2
1637359488.1523087,0,0,1.0,32.4
1637359497.6888962,0,0,1.0,27.6
1637359507.2744186,0,0,1.0,28.8
1637359516.8890693,0,0,1.0,23.8
1637359526.858125,0,0,1.0,21.4
1637359537.7631567,0,0,1.0,22.0
1637359547.5584354,0,0,1.0,25.0
1637359557.4224508,0,0,1.0,26.8
1637359567.2388117,0,0,1.0,34.8
1637359577.1013496,0,0,1.0,28.0
1637359587.0594058,0,0,1.0,30.2
1637359596.9555879,0,0,1.0,24.6
1637359607.0392673,0,0,2.0,28.4
1637359617.1895046,0,0,2.0,30.4
1637359627.198619,0,0,3.5,30.2
1637359637.7185369,0,0,5.0,26.2
1637359647.973269,0,0,5.0,27.0
1637359658.5895863,0,0,5.0,29.8
1637359668.9956894,0,0,5.0,25.8
